profile,fixture,kind,stage,round,environment_eligible,strict_global_swap_eligible,done_reason,client_seconds,first_visible_seconds,decode_tps,population,idle_calibration_eligible,server_history,fixture_position,path,target_gb,context,slots,mtp,chunk,cache,prompt_tokens,reused_tokens,prefill_tokens,prefill_seconds,output_tokens,decode_seconds,native_request_seconds,peak_gb,pagein_delta,swapin_delta,swapout_delta,estimator_decode_tps,estimator_prefill_tps,output_sha256,exclusions,read_passes,compute_passes,checkpoint_refusals,prefill_estimate_error_pct,decode_estimate_error_pct
budget10_auto,code2048,code,prefill_miss,1,True,True,length,18.018860916956328,15.7374159169849,7.010297453532539,load-prefill-2k-v3-attempt5,True,first_prompt,0,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r1/code2048/prefill_miss-result.json,10,32768,961,False,256,miss,2061,0,2061,15.708795292,16,2.282356791,18.017225125,7.903677584,415,0,0,4.004166666666666,85,0bff130131466e434d36b108084ba14305a3413a1826595058ac2df8461d0edb,[],"[2048, 13]","[256, 256, 256, 256, 256, 256, 256, 256, 13]",0,54.35339485184891,-42.881643850234376
budget10_auto,code2048,code,repeat,1,True,True,length,2.791649999911897,0.018879625014960766,5.77053217335418,load-prefill-2k-v3-attempt5,True,first_prompt,0,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r1/code2048/repeat-result.json,10,32768,961,False,256,complete,2061,2061,0,8.75e-07,16,2.772707875,2.79052725,7.903677584,0,0,0,4.004166666666666,85,0bff130131466e434d36b108084ba14305a3413a1826595058ac2df8461d0edb,[],[],[],0,,-30.610097190755216
budget10_auto,prose2048,prose,prefill_miss,1,True,False,length,28.77381966705434,26.515795500017703,7.084757911915907,load-prefill-2k-v3-attempt5,True,after_other_prompts,1,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r1/prose2048/prefill_miss-result.json,10,32768,961,False,256,miss,2061,0,2061,26.506637542,16,2.258369333,28.772468333,7.903677584,15,4,0,4.004166666666666,85,6dc9e83f73a299fdc011fc4b7d1dd14bb36f0b15b3c0c8c1c53455b81e2cf2fc,[],"[256, 256, 256, 256, 256, 256, 256, 256, 13]","[256, 256, 256, 256, 256, 256, 256, 256, 13]",1,-8.524576966392916,-43.48195497361979
budget10_auto,prose2048,prose,repeat,1,True,True,length,3.3485475829802454,1.0317555419169366,6.906254839531101,load-prefill-2k-v3-attempt5,True,after_other_prompts,1,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r1/prose2048/repeat-result.json,10,32768,961,False,256,partial,2061,2048,13,1.020634042,16,2.316740458,3.347463083,7.903677584,0,0,0,4.004166666666666,85,6dc9e83f73a299fdc011fc4b7d1dd14bb36f0b15b3c0c8c1c53455b81e2cf2fc,[],[13],[13],0,-85.01508178476098,-42.02115676723959
budget10_auto,code2048,code,prefill_miss,2,True,False,length,30.39700279198587,28.12426308298018,7.040275510480884,load-prefill-2k-v3-attempt5,True,after_other_prompts,1,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r2/code2048/prefill_miss-result.json,10,32768,961,False,256,miss,2061,0,2061,28.114991166,16,2.272638333,30.395663834,7.897271536,0,12,0,4.004166666666666,85,0bff130131466e434d36b108084ba14305a3413a1826595058ac2df8461d0edb,[],"[256, 256, 256, 256, 256, 256, 256, 256, 13]","[256, 256, 256, 256, 256, 256, 256, 256, 13]",1,-13.757544221277062,-43.12485838507813
budget10_auto,code2048,code,repeat,2,True,True,length,3.2868229580344632,0.9454348330618814,6.834118954460955,load-prefill-2k-v3-attempt5,True,after_other_prompts,1,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r2/code2048/repeat-result.json,10,32768,961,False,256,partial,2061,2048,13,0.934533125,16,2.34119425,3.285705583,7.897271536,0,0,0,4.004166666666666,85,0bff130131466e434d36b108084ba14305a3413a1826595058ac2df8461d0edb,[],[13],[13],0,-83.63448310400038,-41.40917514973958
budget10_auto,prose2048,prose,prefill_miss,2,True,False,length,17.283596458961256,14.930950084002689,6.800625408634704,load-prefill-2k-v3-attempt5,True,first_prompt,0,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r2/prose2048/prefill_miss-result.json,10,32768,961,False,256,miss,2061,0,2061,14.905922291,16,2.352724792,17.28210775,7.897271536,6,76,0,4.004166666666666,85,6dc9e83f73a299fdc011fc4b7d1dd14bb36f0b15b3c0c8c1c53455b81e2cf2fc,[],"[2048, 13]","[256, 256, 256, 256, 256, 256, 256, 256, 13]",0,62.66728317891115,-41.12061132520834
budget10_auto,prose2048,prose,repeat,2,True,True,length,2.4828317500650883,0.016564000048674643,6.487765079447294,load-prefill-2k-v3-attempt5,True,first_prompt,0,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r2/prose2048/repeat-result.json,10,32768,961,False,256,complete,2061,2061,0,7.5e-07,16,2.466180542,2.481615709,7.897271536,0,0,0,4.004166666666666,85,6dc9e83f73a299fdc011fc4b7d1dd14bb36f0b15b3c0c8c1c53455b81e2cf2fc,[],[],[],0,,-38.28126299838542
budget10_auto,code2048,code,prefill_miss,3,True,False,length,16.348415249958634,14.036971415975131,6.921716914853305,load-prefill-2k-v3-attempt5,True,first_prompt,0,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r3/code2048/prefill_miss-result.json,10,32768,961,False,256,miss,2061,0,2061,14.009224375,16,2.311565208,16.346870042,7.894322416,6,4,0,4.004166666666666,85,0bff130131466e434d36b108084ba14305a3413a1826595058ac2df8461d0edb,[],"[2048, 13]","[256, 256, 256, 256, 256, 256, 256, 256, 13]",0,73.07923818251652,-42.150672789375
budget10_auto,code2048,code,repeat,3,False,False,length,2.3761255419813097,0.013791250064969063,6.77350554499294,load-prefill-2k-v3-attempt5,True,first_prompt,0,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r3/code2048/repeat-result.json,10,32768,961,False,256,complete,2061,2061,0,1.167e-06,16,2.362144667,2.374976708,7.894322416,0,0,0,4.004166666666666,85,0bff130131466e434d36b108084ba14305a3413a1826595058ac2df8461d0edb,['sustained background CPU load or unavailable sample'],[],[],0,,-40.88486914096355
budget10_auto,prose2048,prose,prefill_miss,3,True,False,length,28.40488533396274,26.137143875006586,7.056021875742285,load-prefill-2k-v3-attempt5,True,after_other_prompts,1,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r3/prose2048/prefill_miss-result.json,10,32768,961,False,256,miss,2061,0,2061,26.129264,16,2.267566666,28.403762791,7.894322416,0,16,0,4.004166666666666,85,6dc9e83f73a299fdc011fc4b7d1dd14bb36f0b15b3c0c8c1c53455b81e2cf2fc,[],"[256, 256, 256, 256, 256, 256, 256, 256, 13]","[256, 256, 256, 256, 256, 256, 256, 256, 13]",1,-7.203437404400626,-43.25178213473959
budget10_auto,prose2048,prose,repeat,3,True,True,length,3.223739958018996,0.9699624580098316,7.099600686287338,load-prefill-2k-v3-attempt5,True,after_other_prompts,1,load-prefill-2k-v3-attempt5/prefill-budget10_auto-r3/prose2048/repeat-result.json,10,32768,961,False,256,partial,2061,2048,13,0.961296875,16,2.253647875,3.22265325,7.894322416,0,0,0,4.004166666666666,85,6dc9e83f73a299fdc011fc4b7d1dd14bb36f0b15b3c0c8c1c53455b81e2cf2fc,[],[13],[13],0,-84.09012028978164,-43.60011437825521
budget10_auto,code2048,code,prefill_miss,1,True,False,length,16.13099662505556,13.881795707973652,7.1132929161216625,load-prefill-2k-v3-supplement1,True,first_prompt,0,load-prefill-2k-v3-supplement1/prefill-budget10_auto-r1/code2048/prefill_miss-result.json,10,32768,961,False,256,miss,2061,0,2061,13.85954,16,2.249309875,16.129682583,7.910427864,3,8,0,4.004166666666666,85,0bff130131466e434d36b108084ba14305a3413a1826595058ac2df8461d0edb,[],"[2048, 13]","[256, 256, 256, 256, 256, 256, 256, 256, 13]",0,74.94851072639793,-43.70867734700522
budget10_auto,code2048,code,repeat,1,True,False,length,2.3443864999571815,0.013760500005446374,6.865673947427818,load-prefill-2k-v3-supplement1,True,first_prompt,0,load-prefill-2k-v3-supplement1/prefill-budget10_auto-r1/code2048/repeat-result.json,10,32768,961,False,256,complete,2061,2061,0,7.91e-07,16,2.330434,2.343157375,7.910427864,0,4,0,4.004166666666666,85,0bff130131466e434d36b108084ba14305a3413a1826595058ac2df8461d0edb,[],[],[],0,,-41.67846161458334
